Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Akyash, M.; Azar, K.; Kamali, H.","Akyash, Mohammad (57221133535); Azar, Kimia Zamiri (57200300780); Kamali, Hadi Mardani (57189326380)",57221133535; 57200300780; 57189326380,RTL++: Graph-enhanced LLM for RTL Code Generation,2025,,,,,44,50,0,0,10.1109/ICLAD65226.2025.00020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015889697&doi=10.1109%2FICLAD65226.2025.00020&partnerID=40&md5=47add2daebde82a6ddda802a7f18c6e4,"As hardware design complexity escalates, there is an urgent need for advanced automation in electronic design automation (EDA). Traditional register transfer level (RTL) design methods are manual, time-consuming, and prone to errors. While commercial (instruction-tuned) large language models (LLMs) shows promising performance for automation, they pose security and privacy concerns. Open-source models offer alternatives; however, they frequently fall short in quality/correctness, largely due to limited, high-quality RTL code data essential for effective training and generalization. This paper proposes RTL++, a first-of-its-kind LLM-assisted method for RTL code generation that utilizes graph representations of code structures to enhance the quality of generated code. By encoding RTL code into a textualized control flowgraphs (CFG) and data flow graphs (DFG), RTL++ captures the inherent hierarchy, dependencies, and relationships within the code. This structured graph-based approach enhances the context available to LLMs, enabling them to better understand and generate instructions. By focusing on data generation through graph representations, RTL++ addresses the limitations of previous approaches that rely solely on code and suffer from lack of diversity. Experimental results demonstrate that RTL++ outperforms state-of-the-art models fine-tuned for RTL generation, as evaluated using the VerilogEval benchmark's P ass@1/5/10 metric, as well as the RTLLM1.1 model, which highlight the effectiveness of graph-enhanced context in advancing the capabilities of LLM-assisted RTL code generation1 © 2025 Elsevier B.V., All rights reserved.",Graph; LLM; RTL Code Generation; Verilog,Conference paper,Final,,Scopus,2-s2.0-105015889697
"Wang, N.; Yao, B.; Zhou, J.; Hu, Y.; Wang, X.; Jiang, Z.; Guan, N.","Wang, Ning (59253239400); Yao, Bingkun (59253058900); Zhou, Jie (59253327000); Hu, Yuchen (59145836300); Wang, Xi (57191963930); Jiang, Zhe (57194444628); Guan, Nan (21742419700)",59253239400; 59253058900; 59253327000; 59145836300; 57191963930; 57194444628; 21742419700,Large Language Model for Verilog Generation with Code-Structure-Guided Reinforcement Learning,2025,,,,,164,170,0,0,10.1109/ICLAD65226.2025.00025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015888143&doi=10.1109%2FICLAD65226.2025.00025&partnerID=40&md5=04262efee9b832ab8d1581f6ce04676e,"Recent advancements in large language models (LLMs) have sparked significant interest in the automatic generation of Register Transfer Level (RTL) designs, particularly using Verilog. Current research on this topic primarily focuses on pre-training and instruction tuning, but the effectiveness of these methods is constrained by the limited availability of training data, as public Verilog code is far less abundant than software code. In particular, these methods struggle to effectively capture Verilog's parallel code structures, which fundamentally differ from the imperative, sequential control flow typical in most software programming languages. This paper introduces VeriSeek, an LLM enhanced by reinforcement learning using a limited amount of high-quality training data to achieve high Verilog code generation performance. Our reinforcement learning approach employs code structure information as feedback signals to refine the pre-trained model, enabling it to effectively learn important patterns from Verilog code with parallel structures. Experiments show that VeriSeek outperforms state-of-the-art methods across multiple benchmarks. We release VeriSeek's the complete implementation framework, including the dataset, source code, and model weights, at https://github.com/catiiiiiiii/veriseek. © 2025 Elsevier B.V., All rights reserved.",llm; reinforcement learning; verilog generation,Conference paper,Final,,Scopus,2-s2.0-105015888143
"Wang, Z.; Shao, M.; Bhandari, J.; Mankali, L.; Karri, R.; Sinanoglu, O.; Shafique, M.; Knechtel, J.","Wang, Zeng (58305047600); Shao, Minghao (58908537200); Bhandari, Jitendra (57322176100); Mankali, Likhitha (57957218800); Karri, Ramesh (7006419874); Sinanoglu, Ozgur (6701712277); Shafique, Muhammad (17435669500); Knechtel, Johann (37100196300)",58305047600; 58908537200; 57322176100; 57957218800; 7006419874; 6701712277; 17435669500; 37100196300,VeriContaminated: Assessing LLM-Driven Verilog Coding for Data Contamination,2025,,,,,117,123,0,1,10.1109/ICLAD65226.2025.00017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015887124&doi=10.1109%2FICLAD65226.2025.00017&partnerID=40&md5=4b90092cac41c1cc7eeb08326e097eb5,"Large Language Models (LLMs) have revolutionized code generation, achieving exceptional results on various established benchmarking frameworks. However, concerns about data contamination - where benchmark data inadvertently leaks into pre-training or fine-tuning datasets - raise questions about the validity of these evaluations. While this issue is known, limiting the industrial adoption of LLM-driven software engineering, hardware coding has received little to no attention regarding these risks. For the first time, we analyze state-of-the-art (SOTA) evaluation frameworks for Verilog code generation (VerilogEval and RTLLM), using established methods for contamination detection (CCD and Min-K% Prob). We cover SOTA commercial and open-source LLMs (CodeGen2.5, Minitron 4b, Mistral 7b, phi-4 mini, LLaMA-{1,2,3.1}, GPT- {2,3.5,4o} , Deepseek-Coder, and CodeQwen 1.5), in baseline and fine-tuned models (RTLCoder and Verigen). Our study confirms that data contamination is a critical concern. We explore mitigations and the resulting trade-offs for code quality vs fairness (i.e., reducing contamination toward unbiased benchmarking). Codes are open-sourced at https://github.com/DfX-NYUAD/VeriContaminated. © 2025 Elsevier B.V., All rights reserved.",Data Contamination; Hardware Design; LLMs,Conference paper,Final,,Scopus,2-s2.0-105015887124
"Wang, Z.; Shao, M.; Nabeel, M.; Roy, P.B.; Mankali, L.; Bhandari, J.; Karri, R.; Sinanoglu, O.; Shafique, M.; Knechtel, J.","Wang, Zeng (58305047600); Shao, Minghao (58908537200); Nabeel, Mohammed Thari M. (57201297602); Roy, Prithwish Basu (58278761300); Mankali, Likhitha (57957218800); Bhandari, Jitendra (57322176100); Karri, Ramesh (7006419874); Sinanoglu, Ozgur (6701712277); Shafique, Muhammad (17435669500); Knechtel, Johann (37100196300)",58305047600; 58908537200; 57201297602; 58278761300; 57957218800; 57322176100; 7006419874; 6701712277; 17435669500; 37100196300,VeriLeaky: Navigating IP Protection vs Utility in Fine-Tuning for LLM-Driven Verilog Coding,2025,,,,,100,107,0,0,10.1109/ICLAD65226.2025.00018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015881596&doi=10.1109%2FICLAD65226.2025.00018&partnerID=40&md5=c96ed8ee8bf6b934a82b354a2301c59a,"Large language models (LLMs) offer significant potential for coding, yet fine-tuning (FT) with curated data is essential for niche languages like Verilog. Using proprietary intellectual property (IP) for FT presents a serious risk, as FT data can be leaked through LLM inference. This leads to a critical dilemma for design houses: seeking to build externally accessible LLMs offering competitive Verilog coding, how can they leverage in-house IP to enhance FT utility while ensuring IP protection?For the first time in the literature, we study this dilemma. Using LLaMA 3.1-8B, we conduct in-house FT on a baseline Verilog dataset (RTLCoder) supplemented with our own in-house IP, which is validated through multiple tape-outs. To rigorously assess IP leakage, we quantify structural similarity (AST/Dolos) and functional equivalence (Synopsys Formality) between generated codes and our in-house IP. We show that our IP can indeed be leaked, confirming the threat. As defense, we evaluate logic locking of Verilog codes (ASSURE). This offers some level of protection, yet reduces the IP's utility for FT and degrades the LLM's performance. Our study shows the need for novel strategies that are both effective and minimally disruptive to FT, an essential effort for enabling design houses to fully utilize their proprietary IP toward LLM-driven Verilog coding. © 2025 Elsevier B.V., All rights reserved.",Data Extraction; IP Protection; Large Language Models; Logic Locking; Verilog Code Generation,Conference paper,Final,,Scopus,2-s2.0-105015881596
"Wang, J.; Wan, L.J.; Pingali, S.; Smith, S.; Jha, M.; Sivakumar, S.; Zhao, X.; Cao, K.; Chen, D.","Wang, Jinghua (57222239144); Wan, Lily Jiaxin (58968332600); Pingali, Sanjana (60097946200); Smith, Scott (59316544500); Jha, Manvi (57301886500); Sivakumar, Shalini (60097506500); Zhao, Xing (60098035300); Cao, Kaiwen (59546179600); Chen, Deming (7405452600)",57222239144; 58968332600; 60097946200; 59316544500; 57301886500; 60097506500; 60098035300; 59546179600; 7405452600,OpenRTLSet: A Fully Open-Source Dataset for Large Language Model-based Verilog Module Design,2025,,,,,212,218,0,0,10.1109/ICLAD65226.2025.00038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015865271&doi=10.1109%2FICLAD65226.2025.00038&partnerID=40&md5=699510c2c84070f67f559f0eb09f61cc,"OpenRTLSet1 introduces the largest fully open-source dataset for hardware design, offering over 127,000 diverse Verilog code samples to the research community and industry. Our dataset uniquely combines Verilog code from GitHub repositories (98k modules), VHDL translations (5k modules), and synthesizable C/C++ translations (24k modules), all freely accessible without proprietary restrictions. Using the reasoning model DeepSeek-R1, we generated paired natural language descriptions for each code sample, enabling fine-tuning of various language model families (e.g., Qwen and Granite) for Verilog code generation. Our dataset explores multiple options, including Verilator-generated C++ files as additional context during labeling, quantization techniques (INT4 vs. BF16), and performance differences across model sizes (7B-32B parameters). OpenRTLSet demonstrates that open-source approaches can achieve superior performance in hardware design tasks, establishing a new foundation for accessible research and commercial use in this domain. © 2025 Elsevier B.V., All rights reserved.",dataset; Large Language Models (LLMs); Register-Transfer Level (RTL); Verilog,Conference paper,Final,,Scopus,2-s2.0-105015865271
"Lin, Y.; Wang, Z.; Zhang, L.; Zhang, C.; Hei, X.","Lin, Yefan (59717414100); Wang, Ziyuan (58142313800); Zhang, Lujia (60098105100); Zhang, Chengwei (55703831700); Hei, Xiaojun (55885096500)",59717414100; 58142313800; 60098105100; 55703831700; 55885096500,ChemAI: Empowering Robots to Automate Chemical Experiments with Large Language Models,2025,,,,,369,373,0,0,10.1109/ICCAI66501.2025.00064,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015672953&doi=10.1109%2FICCAI66501.2025.00064&partnerID=40&md5=f19a084e0d4bf8fdb44a75a31e08d987,"—Chemical experimentation remains fundamental to material discovery and compound synthesis, yet conventional methods face critical limitations. Manual laboratory workflows require repetitive operations that prolong research timelines, while robotic automation platforms inadvertently shift the burden to chemists through complex programming requirements. Existing systems also struggle to adapt to novel experimental designs, constraining scientific innovation. To bridge these gaps, we present a large language model (LLM)-driven robotic framework that redefines automated experimentation. Our system interprets natural language instructions through advanced LLM processing, dynamically integrates real-time environmental data, and autonomously generates executable code utilizing a modular action library. A self-correcting validation mechanism ensures operational precision, systematically resolving execution errors through iterative feedback. Empirical validation across two benchmark experiments including the iodine clock reaction kinetics and the salt purification demonstrates transformative advantages: 1) intuitive interaction; 2) extended workflow handling efficiency gain in multi-step protocols; 3) adaptive code generation. This paradigm shift may enable chemists to focus on hypothesis-driven research rather than procedural implementation, establishing a scalable infrastructure for next-generation autonomous laboratories. © 2025 Elsevier B.V., All rights reserved.",ChemAI; ChemAPI; Chemical Experimentation; Large Language Model; Robotic Automation,Conference paper,Final,,Scopus,2-s2.0-105015672953
"Grabowski, J.; Xia, Y.; Suntichaikul, P.; Madani, H.D.Q.; Thawonmas, R.","Grabowski, Jesse (60092864900); Xia, Yi (58964352500); Suntichaikul, Pratch (58964332500); Madani, Haekal Damar Qudsi (60092743500); Thawonmas, Ruck (6701619884)",60092864900; 58964352500; 58964332500; 60092743500; 6701619884,Fit to Fling: Genetic Prompt Optimization for the LLMs4PCG Competition,2025,"IEEE Conference on Computatonal Intelligence and Games, CIG",,,,,,0,0,10.1109/CoG64752.2025.11114353,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015434183&doi=10.1109%2FCoG64752.2025.11114353&partnerID=40&md5=28de8c11ead0f6e3b6292fb1de5b7435,"This paper presents a genetic search-based approach to automatic prompt optimization for the 2025 LLMs4PCG competition. Large language models can enhance the longevity and replayability of games through procedural content generation, but reliance on proprietary third-party APIs raises concerns about cost and sustainability. Open-weight models return control to developers, though often with reduced capabilities. We propose a genetic algorithm that automatically optimizes prompts to help close this performance gap on certain tasks. Experimental results and competition benchmarks suggest this is a promising step toward enabling practical use of smaller, open-weight models for PCG in games. © 2025 Elsevier B.V., All rights reserved.",Automatic Prompt Optimization; Competition; Genetic Algorithms; Large Language Models; Procedural Content Generation; Prompt Engineering,Conference paper,Final,,Scopus,2-s2.0-105015434183
"Ciccozzi, F.","Ciccozzi, Federico (36616784300)",36616784300,Towards AI-Augmented Co-Compilation for Smart IoT Systems Through Domain-Specific LLMs,2025,,,,,,,0,0,10.23919/SpliTech65624.2025.11091755,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013465706&doi=10.23919%2FSpliTech65624.2025.11091755&partnerID=40&md5=425fc91fcb678d9f6848bc25a7ed0c7b,"The explosion of smart, interconnected IoT devices is driving demand for higher performance, real-time processing, and self-∗ capabilities (self-adaptation, self-reconfiguration, self-healing) across heterogeneous platforms. CPUs, GPUs, and FPGAs now provide exceptional compute power but greatly complicate software toolchains. We envision AI-COMPILER, an LLM-driven, domain-specific framework that automates co-compilation and optimization of heterogeneous applications in smart cities, smart transportation, and real-time analytics. Tackling multi-objective goals - power efficiency, reliability, and dynamic reconfiguration - AI-COMPILER aims to transform how IoT and edge infrastructures are developed, deployed, and maintained. We examine critical issues such as generalization to new hardware, human-AI collaborative tuning, and semantic coherence across multiple DSLs, arguing that AI-COMPILER can usher in more agile, resilient IoT ecosystems through flexible, context-aware code generation and adaptation. © 2025 Elsevier B.V., All rights reserved.",artificial intelligence; compiler optimization; domain-specific languages; heterogeneous computing; large language models; MLIR; self-adaptation; Smart IoT,Conference paper,Final,,Scopus,2-s2.0-105013465706
"Li, H.; Xing, W.","Li, Hai (58934319000); Xing, Wanli (55983407600)",58934319000; 55983407600,Enhanced Knowledge Tracing: Leveraging Multi-time Series Features from Interaction Process via an Attention-Based Framework,2025,Lecture Notes in Computer Science,15882 LNAI,,,250,258,0,0,10.1007/978-3-031-98465-5_32,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012030547&doi=10.1007%2F978-3-031-98465-5_32&partnerID=40&md5=db4b5babd10cd4b32b00a508cf3810b4,"Open-ended mathematical problems are commonly used to assess students’ abilities, during which teachers provide comments in addition to scores, offering valuable procedural and conceptual support, while this process lacks automation. Prior automated assessments primarily used natural language processing, focusing on students’ textual answers. However, open-ended mathematical problems often require answers to include images, such as number lines, geometric shapes, and charts. Yet, limited methods are available for the automated scoring of image-based responses, and even fewer multi-modal approaches can simultaneously process both text and images. This study builds on prior research of automated assessment of open-ended math questions, developing and evaluating a multi-modal framework capable of predicting scores. Using historical log data and leveraging textual and visual artifacts from students, we utilized sample-level multi-modal semantic representations generated by generative artificial intelligence (GAI) to propose a collaborative filtering-based machine learning approach for predicting student scores. Our research demonstrates that incorporating predicted scores similar to historical answers can significantly enhance the performance of the scoring model. This paper provides a fresh perspective and technological framework for multi-modal technology in automatic feedback system. Knowledge tracing aims to model learners’ knowledge states based on their problem-solving sequences. However, most existing methods fail to incorporate rich learning process data (auxiliary variables), which characterizes a multi-feature scenario. To address this limitation, we propose a plug-and-play multi-feature encoding framework that can be integrated into the embedding layer of deep knowledge tracing (DKT) for joint training, enabling effective representation learning of auxiliary variables. Our framework first selects the top-k features using time-series-based conditional mutual information and then employs a stacked transformer-encoder to extract feature representations, structured as embeddings across different channels. Given that different features may have varying influences on learners’ knowledge states, we design a stacked multi-head attention mechanism to assign distinct weights to different channel-time combinations. Using a real-world dataset collected from a middle school mathematics learning platform, we demonstrate that the proposed method effectively encodes auxiliary variables, enhancing both the performance and interpretability of DKT. © 2025 Elsevier B.V., All rights reserved.",auxiliary process data; feature representation; Knowledge tracing; multi-time series features,Conference paper,Final,,Scopus,2-s2.0-105012030547
"Al Amin, R.; Lincoln, M.G.R.; Obermaisser, R.","Al Amin, Rashed (58003449400); Lincoln, Md Golam Rassel (59988177100); Obermaisser, Roman (9733588000)",58003449400; 59988177100; 9733588000,Towards LLM-Assisted HDL Generation and Verification,2025,,,,,,,0,0,10.1109/MECO66322.2025.11049176,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010393843&doi=10.1109%2FMECO66322.2025.11049176&partnerID=40&md5=b51b8c27fbefaf961ce37ef688f64e1a,"The rapid advancement of Large Language Models (LLMs) across various application domains has led to their increasing adoption in Electronic Design Automation (EDA). LLM-assisted hardware design, particularly in HDL (Hardware Description Language) generation and verification, is gaining significant traction in industry and academia. The hardware design process begins with generating and verifying HDL code, which remains a challenging and error-prone task. While recent research has made notable progress in leveraging LLMs for HDL generation (e.g., Verilog and VHDL), existing models still struggle with accuracy. Moreover, a lack of publicly available datasets and open-source evaluation frameworks, particularly for VHDL, limits further advancements in this domain. This paper presents an automated HDL generation and verification system utilizing CodeLlama-7B Instruct with Parameter-Efficient Fine-Tuning (PEFT) methods to address these challenges. Additionally, a multi-granularity VHDL dataset has been developed, incorporating a Pyramid of Thought (PoT) architecture to enhance the efficiency of HDL generation and verification. The proposed LLM model is evaluated using the VerilogEval framework for generated Verilog code and a human evaluation process for VHDL code. The results demonstrate promising performance, achieving up to 63% accuracy with Pass@10 for Verilog and 52% with Pass@10 for VHDL. These findings and the developed VHDL dataset contribute to advancing automatic HDL generation and verification, facilitating further research in EDA and AI-assisted hardware design. © 2025 Elsevier B.V., All rights reserved.",hardware design; HDL generation and verification; LLM,Conference paper,Final,,Scopus,2-s2.0-105010393843
"Sun, W.; Miao, Y.; Li, Y.; Zhang, H.; Fang, C.; Liu, Y.; Deng, G.; Liu, Y.; Chen, Z.","Sun, Weisong (57208225070); Miao, Yun (57709961900); Li, Yuekang (57196001970); Zhang, Hongyu (55685668500); Fang, Chunrong (55321130800); Liu, Yi (57263997900); Deng, Gelei (57208594263); Liu, Yang (56911879800); Chen, Zhenyu (55579848600)",57208225070; 57709961900; 57196001970; 55685668500; 55321130800; 57263997900; 57208594263; 56911879800; 55579848600,Source Code Summarization in the Era of Large Language Models,2025,Proceedings - International Conference on Software Engineering,,,,1882,1894,0,4,10.1109/ICSE55347.2025.00034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010316207&doi=10.1109%2FICSE55347.2025.00034&partnerID=40&md5=8af2e18eee850e3130ccc2b82247a8fa,"To support software developers in understanding and maintaining programs, various automatic (source) code summarization techniques have been proposed to generate a concise natural language summary (i.e., comment) for a given code snippet. Recently, the emergence of large language models (LLMs) has led to a great boost in the performance of coderelated tasks. In this paper, we undertake a systematic and comprehensive study on code summarization in the era of LLMs, which covers multiple aspects involved in the workflow of LLMbased code summarization. Specifically, we begin by examining prevalent automated evaluation methods for assessing the quality of summaries generated by LLMs and find that the results of the GPT-4 evaluation method are most closely aligned with human evaluation. Then, we explore the effectiveness of five prompting techniques (zero-shot, few-shot, chain-of-thought, critique, and expert) in adapting LLMs to code summarization tasks. Contrary to expectations, advanced prompting techniques may not outperform simple zero-shot prompting. Next, we investigate the impact of LLMs' model settings (including top-p and temperature parameters) on the quality of generated summaries. We find the impact of the two parameters on summary quality varies by the base LLM and programming language, but their impacts are similar. Moreover, we canvass LLMs' abilities to summarize code snippets in distinct types of programming languages. The results reveal that LLMs perform suboptimally when summarizing code written in logic programming languages compared to other language types (e.g., procedural and object-oriented programming languages). Finally, we unexpectedly find that CodeLlamaInstruct with 7B parameters can outperform advanced GPT-4 in generating summaries describing code design rationale and asserting code properties. We hope that our findings can provide a comprehensive understanding of code summarization in the era of LLMs. © 2025 Elsevier B.V., All rights reserved.",large language model; prompt engineering; source code summarization,Conference paper,Final,,Scopus,2-s2.0-105010316207
"Liu, Y.; Xu, C.; Zhou, Y.; Li, Z.; Xu, Q.","Liu, Yi (58335915500); Xu, Changran (58956814500); Zhou, Yunhao (59679137700); Li, Zeju (59666466700); Xu, Qiang (56583074400)",58335915500; 58956814500; 59679137700; 59666466700; 56583074400,DEEPRTL: BRIDGING VERILOG UNDERSTANDING AND GENERATION WITH A UNIFIED REPRESENTATION MODEL,2025,,,,,3948,3970,0,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010203896&partnerID=40&md5=5e3638c2b8a1b5d04ca1ec8d2d92dd1a,"Recent advancements in large language models (LLMs) have shown significant potential for automating hardware description language (HDL) code generation from high-level natural language instructions. While fine-tuning has improved LLMs' performance in hardware design tasks, prior efforts have largely focused on Verilog generation, overlooking the equally critical task of Verilog understanding. Furthermore, existing models suffer from weak alignment between natural language descriptions and Verilog code, hindering the generation of high-quality, synthesizable designs. To address these issues, we present DeepRTL, a unified representation model that excels in both Verilog understanding and generation. Based on CodeT5+, DeepRTL is fine-tuned on a comprehensive dataset that aligns Verilog code with rich, multi-level natural language descriptions. We also introduce the first benchmark for Verilog understanding and take the initiative to apply embedding similarity and GPT Score to evaluate the models' understanding capabilities. These metrics capture semantic similarity more accurately than traditional methods like BLEU and ROUGE, which are limited to surface-level n-gram overlaps. By adapting curriculum learning to train DeepRTL, we enable it to significantly outperform GPT-4 in Verilog understanding tasks, while achieving performance on par with OpenAI's o1-preview model in Verilog generation tasks. Our code and datasets are available at https://github.com/PeterLau61/DeepRTL. © 2025 Elsevier B.V., All rights reserved.",,Conference paper,Final,,Scopus,2-s2.0-105010203896
"Farmahinifarahani, F.; Babkin, P.; Alamir, S.; Liu, X.","Farmahinifarahani, Farima (57205023722); Babkin, Petr (57151013500); Alamir, Salwa Husam (57764347100); Liu, Xiaomo (57910129100)",57205023722; 57151013500; 57764347100; 57910129100,From Zero to Sixty at the Speed of RAG: Improving YAML Recipe Generation via Retrieval,2025,,,,,49,56,0,0,10.1109/LLM4Code66737.2025.00011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009167169&doi=10.1109%2FLLM4Code66737.2025.00011&partnerID=40&md5=bfd7fefd695f0ac3be6bfab6dad8a3ef,"LLMs have been shown to match or even exceed the performance of specialized Deep Learning models on code generation tasks for general purpose imperative languages, such as Python, Java, C++, and Rust. Conversely, there is only limited work investigating whether such impressive out of the box generalization transfers onto less ubiquitous domain-specific languages, which are often declarative, based on XML, JSON, or YAML. To bridge this gap, we explore the capabilities of LLMs for composing code automation recipes without resorting to any form of task-specific finetuning. We experiment with two GPT versions and CodeLlama-13b-Instruct, and in our experiments, we find that after extensive prompt engineering and chain-of-thought prompting, these models' accuracy in recipe selection does not go beyond ≈ 30%. For parameter filling of YAML recipes, the accuracy of these models remains below 50%. However, by decomposing the task into two stages: dense retrieval and generative slot filling, and while still keeping our setup training-free, the models are able to attain an accuracy in a range of ≈ 50% to ≈ 67% in recipe selection, and ≈ 60% to ≈ 76% in parameter filling. Our study sheds light on the capabilities of LLMs in generating scripts for less widespread languages and opens up avenues for future research. © 2025 Elsevier B.V., All rights reserved.",code generation; code refactoring; LLM,Conference paper,Final,,Scopus,2-s2.0-105009167169
"Haag, A.; Fuchs, B.; Kacan, A.; Lohse, O.","Haag, Aaron (58096829000); Fuchs, Bertram (59419391300); Kacan, Altay (57743957500); Lohse, Oliver (57217675485)",58096829000; 59419391300; 57743957500; 57217675485,Training LLMs for Generating IEC 61131-3 Structured Text with Online Feedback,2025,,,,,65,71,0,1,10.1109/LLM4Code66737.2025.00013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009100303&doi=10.1109%2FLLM4Code66737.2025.00013&partnerID=40&md5=0855175f9de569c082c594fc6632bfb9,"IEC 61131-3 Structured Text (ST) is a widely used programming language for programmable logic controllers (PLCs) in automation systems. However, generating ST code with LLMs poses unique challenges due to limited data in public training datasets and the complexity of ST language syntax. This paper proposes an approach to fine-tune LLMs for the generation of ST code that leverages a preference-based learning method through an online process involving compiler feedback and evaluation from an LLM-based ST expert. In this framework, the model is iteratively refined and generates new training samples, which are subsequently evaluated by a compiler for syntactical correctness and by a specialized LLM that excels at assessing semantic accuracy, though it is not optimized for code generation itself. This approach results in marked improvements for the trained LLM, leading to higher compilation success rates and better semantic precision. As a result, the framework proves highly suitable for industrial automation applications and outperforms state-of-the-art models. © 2025 Elsevier B.V., All rights reserved.",Compiler feedback; IEC 61131-3; LLM Fine-tuning; LLMs,Conference paper,Final,,Scopus,2-s2.0-105009100303
"Linssen, C.; Babu, P.N.; Eppler, J.M.; Koll, L.; Rumpe, B.; Morrison, A.","Linssen, Charl (57653493000); Babu, Pooja N. (57651828700); Eppler, Jochen Martin (23392007200); Koll, Luca (59954480700); Rumpe, Bernhard (55861872700); Morrison, Abigail (16402420100)",57653493000; 57651828700; 23392007200; 59954480700; 55861872700; 16402420100,NESTML: a generic modeling language and code generation tool for the simulation of spiking neural networks with advanced plasticity rules,2025,Frontiers in Neuroinformatics,19,,1544143,,,0,0,10.3389/fninf.2025.1544143,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008553649&doi=10.3389%2Ffninf.2025.1544143&partnerID=40&md5=e9e390adbb9094c57573be3f2409bf17,"With increasing model complexity, models are typically re-used and evolved rather than starting from scratch. There is also a growing challenge in ensuring that these models can seamlessly work across various simulation backends and hardware platforms. This underscores the need to ensure that models are easily findable, accessible, interoperable, and reusable—adhering to the FAIR principles. NESTML addresses these requirements by providing a domain-specific language for describing neuron and synapse models that covers a wide range of neuroscientific use cases. The language is supported by a code generation toolchain that automatically generates low-level simulation code for a given target platform (for example, C++ code targeting NEST Simulator). Code generation allows an accessible and easy-to-use language syntax to be combined with good runtime simulation performance and scalability. With an intuitive and highly generic language, combined with the generation of efficient, optimized simulation code supporting large-scale simulations, it opens up neuronal network model development and simulation as a research tool to a much wider community. While originally developed in the context of NEST Simulator, NESTML has been extended to target other simulation platforms, such as the SpiNNaker neuromorphic hardware platform. The processing toolchain is written in Python and is lightweight and easily customizable, making it easy to add support for new simulation platforms. © 2025 Elsevier B.V., All rights reserved.",model; modeling; neuron; simulation; spiking neural network; synapse,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105008553649
"Zhao, Z.; Qiu, R.; Lin, I.-C.; Zhang, G.L.; Li, B.; Schlichtmann, U.","Zhao, Zhuorui (59409938100); Qiu, Ruidi (58784216200); Lin, Ing-Chao Chao (7202221086); Zhang, Grace Li (57189644383); Li, Bing (59454518700); Schlichtmann, Ulf (6603456416)",59409938100; 58784216200; 7202221086; 57189644383; 59454518700; 6603456416,VRank: Enhancing Verilog Code Generation from Large Language Models via Self-Consistency,2025,"Proceedings - International Symposium on Quality Electronic Design, ISQED",,,,,,0,0,10.1109/ISQED65160.2025.11014398,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007546585&doi=10.1109%2FISQED65160.2025.11014398&partnerID=40&md5=02042ecf45f19fbcf21e84ce5d2492f5,"Large Language Models (LLMs) have demonstrated promising capabilities in generating Verilog code from module specifications. To improve the quality of such generated Verilog codes, previous methods require either time-consuming manual inspection or generation of multiple Verilog codes, from which the one with the highest quality is selected with manually designed testbenches. To enhance the generation efficiency while maintaining the quality of the generated codes, we propose VRank, an automatic framework that generates Verilog codes with LLMs. In our framework, multiple code candidates are generated with LLMs by leveraging their probabilistic nature. Afterwards, we group Verilog code candidates into clusters based on identical outputs when tested against the same testbench, which is also generated by LLMs. Clusters are ranked based on the consistency they show on testbench. To determine the best candidate, Chain-of-Thought is further applied to select the best candidate from the top-ranked clusters. By systematically analyzing diverse outputs of generated codes, VRank reduces errors and enhances the overall quality of the generated Verilog code. Experimental results on the VerilogEval-Human benchmark demonstrate a significant 10.5% average increase in functional correctness (pass@1) across multiple LLMs, demonstrating VRank's effectiveness in improving the accuracy of automated hardware description language generation for complex design tasks. © 2025 Elsevier B.V., All rights reserved.",Large Language Model; Verilog code generation,Conference paper,Final,,Scopus,2-s2.0-105007546585
