Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
ReChisel: Effective Automatic Chisel Code Generation by LLM with Reflection,J. Niu; X. Liu; D. Niu; X. Wang; Z. Jiang; N. Guan,"Department of Computer Science, City University of Hong Kong, Hong Kong, SAR; Department of Computer Science, City University of Hong Kong, Hong Kong, SAR; School of Automation, Southeast University, China; Department of Computer Science, City University of Hong Kong, Hong Kong, SAR; National Center of Technology Innovation for EDA, China; Department of Computer Science, City University of Hong Kong, Hong Kong, SAR",2025 62nd ACM/IEEE Design Automation Conference (DAC),15 Sep 2025,2025,,,1,7,"Coding with hardware description languages (HDLs) such as Verilog is a time-intensive and laborious task. With the rapid advancement of large language models (LLMs), there is increasing interest in applying LLMs to assist with HDL coding. Recent efforts have demonstrated the potential of LLMs in translating natural language to traditional HDL Verilog. Chisel, a next-generation HDL based on Scala, introduces higher-level abstractions, facilitating more concise, maintainable, and scalable hardware designs. However, the potential of using LLMs for Chisel code generation remains largely unexplored. This work proposes ReChisel, an LLM-based agentic system designed to enhance the effectiveness of Chisel code generation. ReChisel incorporates a reflection mechanism to iteratively refine the quality of generated code using feedback from compilation and simulation processes, and introduces an escape mechanism to break free from non-progress loops. Experiments demonstrate that ReChisel significantly improves the success rate of Chisel code generation, achieving performance comparable to state-of-the-art LLM-based agentic systems for Verilog code generation.",,979-8-3315-0304-8,10.1109/DAC63849.2025.11132940,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11132940,,Codes;Translation;Design automation;Large language models;Benchmark testing;Reflection;Hardware;Encoding;Hardware design languages;Next generation networking,,,,36.0,IEEE,15 Sep 2025,,,IEEE,IEEE Conferences
Improving LLM-Based Verilog Code Generation with Data Augmentation and RL,K. Min; S. Park; H. Park; J. Cho; S. Kang,"Department of Electrical Engineering, Pohang University of Science and Technology, Pohang, Republic of Korea; Department of Electrical Engineering, Pohang University of Science and Technology, Pohang, Republic of Korea; Department of Electrical Engineering, Pohang University of Science and Technology, Pohang, Republic of Korea; Department of Electrical Engineering, Pohang University of Science and Technology, Pohang, Republic of Korea; Department of Electrical Engineering, Pohang University of Science and Technology, Pohang, Republic of Korea","2025 Design, Automation & Test in Europe Conference (DATE)",21 May 2025,2025,,,1,7,"Large language models (LLMs) have recently attracted significant attention for their potential in Verilog code generation. However, existing LLM-based methods face several challenges, including data scarcity and the high computational cost of generating prompts for fine-tuning. Motivated by these challenges, we explore methods to augment training datasets, develop more efficient and effective prompts for fine-tuning, and implement training methods incorporating electronic design automation (EDA) tools. Our proposed framework for fine-tuning LLMs for Verilog code generation includes (1) abstract syntax tree (AST)-based data augmentation, (2) output-relevant code masking, a prompt generation method based on the logical structure of Verilog code, and (3) reinforcement learning with tool feedback (RLTF), a fine-tuning method using EDA tool results. Experimental studies confirm that our framework significantly improves syntax and functional correctness, outperforming commercial and non-commercial models on open-source benchmarks.",1558-1101,978-3-9826741-0-0,10.23919/DATE64628.2025.10992897,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10992897,,Training;Analytical models;Codes;Large language models;Reinforcement learning;Syntactics;Data augmentation;Data models;Iterative methods;Hardware design languages,,,,31.0,,21 May 2025,,,IEEE,IEEE Conferences
RTLCoder: Outperforming GPT-3.5 in Design RTL Generation with Our Open-Source Dataset and Lightweight Solution,S. Liu; W. Fang; Y. Lu; Q. Zhang; H. Zhang; Z. Xie,HKUST; HKUST; HKUST; HKUST; HKUST (GZ) & HKUST; HKUST,2024 IEEE LLM Aided Design Workshop (LAD),1 Oct 2024,2024,,,1,5,"The automatic generation of RTL code (e.g., Verilog) using natural language instructions and large language models (LLMs) has attracted significant research interest recently. However, most existing approaches heavily rely on commercial LLMs such as ChatGPT, while open-source LLMs tailored for this specific design generation task exhibit notably inferior performance. The absence of high-quality open-source solutions restricts the flexibility and data privacy of this emerging technique. In this study, we present a new customized LLM solution with a modest parameter count of only 7B, achieving better performance than GPT-3.5 on all representative benchmarks for RTL code generation. Especially, it outperforms GPT-4 in VerilogEval Machine benchmark. This remarkable balance between accuracy and efficiency is made possible by leveraging our new RTL code dataset and a customized LLM algorithm, both of which have been made fully open-source1.",,979-8-3503-7608-1,10.1109/LAD62341.2024.10691788,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10691788,,Data privacy;Codes;Accuracy;Large language models;Conferences;Natural languages;Benchmark testing;Chatbots;Hardware design languages,,60.0,,28.0,IEEE,1 Oct 2024,,,IEEE,IEEE Conferences
HDLEval Benchmarking LLMs for multiple HDLs,F. R. Kashanaki; M. Zakharov; J. Renau,"Dept. of Computer Science and Engineering, University of California, Santa Cruz; Dept. of Computer Science and Engineering, University of California, Santa Cruz; Dept. of Computer Science and Engineering, University of California, Santa Cruz",2024 IEEE LLM Aided Design Workshop (LAD),1 Oct 2024,2024,,,1,5,"Large Language Models (LLMs) are transforming code generation and documentation processes across programming languages, including hardware description languages (HDLs). However, existing benchmarks primarily focus on individual HDLs, limiting comprehensive evaluations. To address this, we introduce HDLEval, a versatile benchmarking system that evaluates LLM performance across multiple HDLs, enabling meaningful comparisons. By sharing standardized test benches, HDLEval ensures consistent performance assessments between HDLs, offering insights into language-agnostic LLM capabilities.This system employs formal verification to verify generated code and leverages prompt engineering techniques to overcome syntactic differences between HDLs. HDLEval supports scalable evaluation, making it adaptable for current and future HDLs. Our experiments demonstrate how HDLEval can identify strengths and weaknesses in LLM-generated logic, providing a framework for improving HDL programming with LLMs.",,979-8-3503-7608-1,10.1109/LAD62341.2024.10691770,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10691770,LLM;Verilog,Codes;Limiting;Large language models;Benchmark testing;Syntactics;Programming;Hardware;Prompt engineering;Logic;Hardware design languages,,3.0,,12.0,IEEE,1 Oct 2024,,,IEEE,IEEE Conferences
VeriLeaky: Navigating IP Protection vs Utility in Fine-Tuning for LLM-Driven Verilog Coding,Z. Wang; M. Shao; M. Nabeel; P. B. Roy; L. Mankali; J. Bhandari; R. Karri; O. Sinanoglu; M. Shafique; J. Knechtel,"NYU Tandon School of Engineering, USA; NYU Tandon School of Engineering, USA; NYU, Abu Dhabi, UAE; NYU Tandon School of Engineering, USA; NYU Tandon School of Engineering, USA; NYU Tandon School of Engineering, USA; NYU Tandon School of Engineering, USA; NYU, Abu Dhabi, UAE; NYU, Abu Dhabi, UAE; NYU, Abu Dhabi, UAE",2025 IEEE International Conference on LLM-Aided Design (ICLAD),13 Aug 2025,2025,,,100,107,"Large language models (LLMs) offer significant potential for coding, yet fine-tuning (FT) with curated data is essential for niche languages like Verilog. Using proprietary intellectual property (IP) for FT presents a serious risk, as FT data can be leaked through LLM inference. This leads to a critical dilemma for design houses: seeking to build externally accessible LLMs offering competitive Verilog coding, how can they leverage in-house IP to enhance FT utility while ensuring IP protection?For the first time in the literature, we study this dilemma. Using LLaMA 3.1-8B, we conduct in-house FT on a baseline Verilog dataset (RTLCoder) supplemented with our own in-house IP, which is validated through multiple tape-outs. To rigorously assess IP leakage, we quantify structural similarity (AST/Dolos) and functional equivalence (Synopsys Formality) between generated codes and our in-house IP. We show that our IP can indeed be leaked, confirming the threat. As defense, we evaluate logic locking of Verilog codes (ASSURE). This offers some level of protection, yet reduces the IP’s utility for FT and degrades the LLM’s performance. Our study shows the need for novel strategies that are both effective and minimally disruptive to FT, an essential effort for enabling design houses to fully utilize their proprietary IP toward LLM-driven Verilog coding. Codes are available at https://github.com/DfX-NYUAD/VeriLeaky.",,979-8-3315-2597-2,10.1109/ICLAD65226.2025.00018,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11105588,Large Language Models;Verilog Code Generation;Data Extraction;IP Protection;Logic Locking,Codes;Navigation;Large language models;Watermarking;Intellectual property;Encoding;Logic;IP networks;Hardware design languages;Protection,,1.0,,56.0,IEEE,13 Aug 2025,,,IEEE,IEEE Conferences
LLM4GV: An LLM-Based Flexible Performance-Aware Framework for GEMM Verilog Generation,D. Zou; G. Zhang; K. Sun; Z. Wen; M. Wang; Z. Wang,"Nanjing University, Nanjing, China; Nanjing University, Nanjing, China; Sun Yat-sen University, Shenzhen, China; Sun Yat-sen University, Shenzhen, China; Sun Yat-sen University, Shenzhen, China; Nanjing University, Nanjing, China","2025 Design, Automation & Test in Europe Conference (DATE)",21 May 2025,2025,,,1,2,"Advancements in AI have increased the demand for specialized AI accelerators, with design for general matrix multiplication (GEMM) module being crucial but time-consuming. While large language models (LLMs) show promise for automating GEMM design, challenges arise from GEMM's vast design space and performance requirements. Existing LLM-based frameworks for RTL code generation often lack flexibility and performance awareness. To overcome the challenges, we propose LLM4GV, a multi-agent LLM-based framework that integrates hardware optimization techniques (HOTs) and performance modeling, improving correctness and performance of the generated code over prior works.",1558-1101,978-3-9826741-0-0,10.23919/DATE64628.2025.10992751,National Key R&D Program of China(grant numbers:2022YFB4400600); National Natural Science Foundation of China(grant numbers:62404256); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10992751,,Codes;Automation;Large language models;Europe;AI accelerators;Benchmark testing;Hardware;Hardware design languages;Optimization,,,,6.0,,21 May 2025,,,IEEE,IEEE Conferences
AutoVCoder: A Systematic Framework for Automated Verilog Code Generation using LLMs,M. Gao; J. Zhao; Z. Lin; W. Ding; X. Hou; Y. Feng; C. Li; M. Guo,Shanghai Jiao Tong University; Shanghai Jiao Tong University; Sun Yat-sen University; Fudan University; Shanghai Jiao Tong University; Shanghai Jiao Tong University; Shanghai Jiao Tong University; Shanghai Jiao Tong University,2024 IEEE 42nd International Conference on Computer Design (ICCD),2 Jan 2025,2024,,,162,169,"Recently, the use of large language models (LLMs) for software code generation, e.g., C/C++ and Python, has proven a great success. However, LLMs still suffer from low syntactic and functional correctness when it comes to the generation of register-transfer level (RTL) code, such as Verilog. To address this issue, in this paper, we develop AutoVCoder, a systematic open-source framework that significantly improves the LLMs' correctness of generating Verilog code and enhances the quality of its output at the same time. Our framework integrates three novel techniques, including a high-quality hardware dataset generation approach, a two-round LLM fine-tuning method and a domain-specific retrieval-augmented generation (RAG) mechanism. Experimental results demonstrate that AutoVCoder outperforms both industrial and academic LLMs in Verilog code generation. Code and models are available at https://github.com/sjtu-zhao-lab/AutoVCoder.",2576-6996,979-8-3503-8040-8,10.1109/ICCD63220.2024.00033,"National Natural Science Foundation of China(grant numbers:62472273,62232015); Guangdong Basic and Applied Basic Research Foundation(grant numbers:2024A1515013155); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10817982,,Codes;Systematics;Retrieval augmented generation;Natural languages;Syntactics;Register transfer level;Hardware;Software;Hardware design languages;Python,,12.0,,24.0,IEEE,2 Jan 2025,,,IEEE,IEEE Conferences
RTLCoder: Fully Open-Source and Efficient LLM-Assisted RTL Code Generation Technique,S. Liu; W. Fang; Y. Lu; J. Wang; Q. Zhang; H. Zhang; Z. Xie,"Department of Electronic and Computer Engineering, The Hong Kong University of Science and Technology, Hong Kong, SAR, China; Department of Electronic and Computer Engineering, The Hong Kong University of Science and Technology, Hong Kong, SAR, China; Department of Electronic and Computer Engineering, The Hong Kong University of Science and Technology, Hong Kong, SAR, China; Department of Electronic and Computer Engineering, The Hong Kong University of Science and Technology, Hong Kong, SAR, China; Department of Electronic and Computer Engineering, The Hong Kong University of Science and Technology, Hong Kong, SAR, China; Department of Electronic and Computer Engineering, The Hong Kong University of Science and Technology, Hong Kong, SAR, China; Department of Electronic and Computer Engineering, The Hong Kong University of Science and Technology, Hong Kong, SAR, China",IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,20 Mar 2025,2025,44,4.0,1448,1461,"The automatic generation of RTL code (e.g., Verilog) using natural language instructions and large language models (LLMs) has attracted significant research interest recently. However, most existing approaches heavily rely on commercial LLMs, such as ChatGPT, while open-source LLMs tailored for this specific design generation task exhibit notably inferior performance. The absence of high-quality open-source solutions restricts the flexibility and data privacy of this emerging technique. In this study, we present a new customized LLM solution with a modest parameter count of only 7B, achieving better performance than GPT-3.5 on all representative benchmarks for RTL code generation. Especially, it outperforms GPT-4 in VerilogEval Machine benchmark. This remarkable balance between accuracy and efficiency is made possible by leveraging our new RTL code dataset and a customized LLM algorithm, both of which have been made fully open-source. Furthermore, we have successfully quantized our LLM to 4-bit with a total size of 4 GB, enabling it to function on a single laptop with only slight performance degradation. This efficiency allows the RTL generator to serve as a local assistant for engineers, ensuring all design privacy concerns are addressed.",1937-4151,,10.1109/TCAD.2024.3483089,"Hong Kong Research Grants Council (RGC) ECS(grant numbers:26208723); National Natural Science Foundation of China(grant numbers:62304192,92364102); ACCESS—AI Chip Center for Emerging Smart Systems, sponsored by InnoHK funding, Hong Kong, SAR; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10720939,Dataset generation;hardware code generation;Verilog;large language model;preference finetuning,Codes;Hardware design languages;Training;Integrated circuit modeling;Data models;Natural languages;Hardware;Data collection;Benchmark testing;Privacy,,17.0,,41.0,IEEE,17 Oct 2024,,,IEEE,IEEE Journals
VeriContaminated: Assessing LLM-Driven Verilog Coding for Data Contamination,Z. Wang; M. Shao; J. Bhandari; L. Mankali; R. Karri; O. Sinanoglu; M. Shafique; J. Knechtel,"NYU Tandon School of Engineering, USA; NYU Tandon School of Engineering, USA; NYU Tandon School of Engineering, USA; NYU Tandon School of Engineering, USA; NYU Tandon School of Engineering, USA; NYU, Abu Dhabi, UAE; NYU, Abu Dhabi, UAE; NYU, Abu Dhabi, UAE",2025 IEEE International Conference on LLM-Aided Design (ICLAD),13 Aug 2025,2025,,,117,123,"Large Language Models (LLMs) have revolutionized code generation, achieving exceptional results on various established benchmarking frameworks. However, concerns about data contamination—where benchmark data inadvertently leaks into pre-training or fine-tuning datasets—raise questions about the validity of these evaluations. While this issue is known, limiting the industrial adoption of LLM-driven software engineering, hardware coding has received little to no attention regarding these risks. For the first time, we analyze state-of-the-art (SOTA) evaluation frameworks for Verilog code generation (VerilogEval and RTLLM), using established methods for contamination detection (CCD and Min-K% Prob). We cover SOTA commercial and open-source LLMs (CodeGen2.5, Minitron 4b, Mistral 7b, phi-4 mini, LLaMA-{1,2,3.1}, GPT- {2,3.5,4o} , Deepseek-Coder, and CodeQwen 1.5), in baseline and fine-tuned models (RTLCoder and Verigen). Our study confirms that data contamination is a critical concern. We explore mitigations and the resulting trade-offs for code quality vs fairness (i.e., reducing contamination toward unbiased benchmarking). Codes are open-sourced at https://github.com/DfX-NYUAD/VeriContaminated.",,979-8-3315-2597-2,10.1109/ICLAD65226.2025.00017,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11106053,LLMs;Hardware Design;Data Contamination,Codes;Limiting;Prevention and mitigation;Benchmark testing;Reliability engineering;Hardware;Encoding;Hardware design languages;Contamination;Software engineering,,1.0,,57.0,IEEE,13 Aug 2025,,,IEEE,IEEE Conferences
Large Language Model for Verilog Generation with Code-Structure-Guided Reinforcement Learning,N. Wang; B. Yao; J. Zhou; Y. Hu; X. Wang; Z. Jiang; N. Guan,City University of Hong Kong; City University of Hong Kong; Southeast University; Southeast University; Southeast University; Southeast University; City University of Hong Kong,2025 IEEE International Conference on LLM-Aided Design (ICLAD),13 Aug 2025,2025,,,164,170,"Recent advancements in large language models (LLMs) have sparked significant interest in the automatic generation of Register Transfer Level (RTL) designs, particularly using Verilog. Current research on this topic primarily focuses on pre-training and instruction tuning, but the effectiveness of these methods is constrained by the limited availability of training data, as public Verilog code is far less abundant than software code. In particular, these methods struggle to effectively capture Verilog’s parallel code structures, which fundamentally differ from the imperative, sequential control flow typical in most software programming languages. This paper introduces VeriSeek, an LLM enhanced by reinforcement learning using a limited amount of high-quality training data to achieve high Verilog code generation performance. Our reinforcement learning approach employs code structure information as feedback signals to refine the pre-trained model, enabling it to effectively learn important patterns from Verilog code with parallel structures. Experiments show that VeriSeek outperforms state-of-the-art methods across multiple benchmarks. We release VeriSeek’s the complete implementation framework, including the dataset, source code, and model weights, at https://github.com/catiiiiiiii/veriseek.",,979-8-3315-2597-2,10.1109/ICLAD65226.2025.00025,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11105817,llm;verilog generation;reinforcement learning,Codes;Large language models;Training data;Reinforcement learning;Benchmark testing;Register transfer level;Software;Hardware design languages;Tuning;Standards,,,,35.0,IEEE,13 Aug 2025,,,IEEE,IEEE Conferences
Location is Key: Leveraging LLM for Functional Bug Localization in Verilog Design,B. Yao; N. Wang; J. Zhou; X. Wang; H. Gao; Z. Jiang; N. Guan,City University of Hong Kong; City University of Hong Kong; Southeast University; Southeast University; Zhejiang Normal University; Southeast University; City University of Hong Kong,2025 62nd ACM/IEEE Design Automation Conference (DAC),15 Sep 2025,2025,,,1,7,"In Verilog code design, identifying and locating functional bugs is an important yet challenging task. Existing automatic bug localization methods have limited capabilities; they only suggest a set of potential buggy lines rather than precisely identifying the bug. Moreover, they depend on verification tools like testbenches and reference models, which require expert input and are time-consuming to develop. This paper introduces LiK (Location is Key), an open-source Large Language Model (LLM) to precisely locate functional bugs in Verilog code without the need for expert-written verification tools. LiK is developed from the open-source coding LLM Deepseek-Coder-Lite-Base-16B through a threestep training process: continuous pre-training to enhance foundational knowledge, supervised fine-tuning to learn how to output localization results, and reinforcement learning to reduce output errors. Experiment results demonstrate that LiK achieves superior functional bug localization accuracy, outperforming both the SOTA traditional method Strider, and SOTA closed-source LLMs like GPT-o1-preview and Claude-3.5-Sonnet. Moreover, integrating LiK into the SOTA LLM-based Verilog debugging tool significantly boosts its functional bug fixing success rate from $76.47 \%$ to $90.54 \%$. This underscores LiK’s potential to enhance the performance of end-to-end automatic Verilog debugging tools.",,979-8-3315-0304-8,10.1109/DAC63849.2025.11133280,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11133280,,Location awareness;Codes;Accuracy;VHDL;Computer bugs;Training data;Debugging;Reinforcement learning;Hardware;Hardware design languages,,,,38.0,IEEE,15 Sep 2025,,,IEEE,IEEE Conferences
hdl2v: A Code Translation Dataset for Enhanced LLM Verilog Generation,C. Hong; B. Roberts; H. An; A. Um; A. Ratan; Y. S. Shao,UC Berkeley; UC Berkeley; UC Berkeley; UC Berkeley; UC Berkeley; UC Berkeley,2025 ACM/IEEE 7th Symposium on Machine Learning for CAD (MLCAD),9 Oct 2025,2025,,,1,8,"Large language models (LLMs) are playing an increasingly large role in domains such as code generation, including hardware code generation, where Verilog is the key language. However, the amount of publicly available Verilog code pales in comparison to the amount of code available for software languages like Python. In this work, we present hdl2v (""HDL-to-Verilog""), a dataset which seeks to increase the amount of available human-written Verilog data by translating or compiling three other hardware description languages—VHDL, Chisel, and PyMTL3—to Verilog. Furthermore, we demonstrate the value of hdl2v in enhancing LLM Verilog generation by improving performance of a 32 billion-parameter open-weight model by up to 23% (pass@10) in VerilogEvalV2, without utilizing any data augmentation or knowledge distillation from larger models. We also show hdl2v’s ability to boost the performance of a data augmentation-based fine-tuning approach by 63%. Finally, we characterize and analyze our dataset to better understand which characteristics of HDL-to-Verilog datasets can be expanded upon in future work for even better performance.",,979-8-3315-3762-3,10.1109/MLCAD65511.2025.11189055,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11189055,,Solid modeling;Codes;Translation;VHDL;Data augmentation;Data models;Hardware;Software;Hardware design languages;Python,,,,36.0,IEEE,9 Oct 2025,,,IEEE,IEEE Conferences
OpenRTLSet: A Fully Open-Source Dataset for Large Language Model-based Verilog Module Design,J. Wang; L. J. Wan; S. Pingali; S. Smith; M. Jha; S. Sivakumar; X. Zhao; K. Cao; D. Chen,University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign,2025 IEEE International Conference on LLM-Aided Design (ICLAD),13 Aug 2025,2025,,,212,218,"OpenRTLSet1 introduces the largest fully open-source dataset for hardware design, offering over 127,000 diverse Verilog code samples to the research community and industry. Our dataset uniquely combines Verilog code from GitHub repositories (98k modules), VHDL translations (5k modules), and synthesizable C/C++ translations (24k modules), all freely accessible without proprietary restrictions. Using the reasoning model DeepSeek-R1, we generated paired natural language descriptions for each code sample, enabling fine-tuning of various language model families (e.g., Qwen and Granite) for Verilog code generation. Our dataset explores multiple options, including Verilator-generated C++ files as additional context during labeling, quantization techniques (INT4 vs. BF16), and performance differences across model sizes (7B-32B parameters). OpenRTLSet demonstrates that open-source approaches can achieve superior performance in hardware design tasks, establishing a new foundation for accessible research and commercial use in this domain.",,979-8-3315-2597-2,10.1109/ICLAD65226.2025.00038,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11106163,Large Language Models (LLMs);Verilog;Register-Transfer Level (RTL);dataset,Codes;Translation;VHDL;Quantization (signal);Large language models;Register transfer level;Software;Open source hardware;Hardware design languages;Software development management,,,,40.0,IEEE,13 Aug 2025,,,IEEE,IEEE Conferences
Invited Paper: VerilogEval: Evaluating Large Language Models for Verilog Code Generation,M. Liu; N. Pinckney; B. Khailany; H. Ren,NVIDIA Corporation; NVIDIA Corporation; NVIDIA Corporation; NVIDIA Corporation,2023 IEEE/ACM International Conference on Computer Aided Design (ICCAD),30 Nov 2023,2023,,,1,8,"The increasing popularity of large language models (LLMs) has paved the way for their application in diverse domains. This paper proposes a benchmarking framework tailored specifically for evaluating LLM performance in the context of Verilog code generation for hardware design and verification. We present a comprehensive evaluation dataset consisting of 156 problems from the Verilog instructional website HDLBits. The evaluation set consists of a diverse set of Verilog code generation tasks, ranging from simple combinational circuits to complex finite state machines. The Verilog code completions can be automatically tested for functional correctness by comparing the transient simulation outputs of the generated design with a golden solution. We also demonstrate that the Verilog code generation capability of pretrained language models could be improved with supervised fine-tuning by bootstrapping with LLM generated synthetic problem-code pairs.",1558-2434,979-8-3503-2225-5,10.1109/ICCAD57390.2023.10323812,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10323812,,Codes;Design automation;Benchmark testing;Hardware;Distance measurement;Combinational circuits;Hardware design languages,,109.0,,34.0,IEEE,30 Nov 2023,,,IEEE,IEEE Conferences
LLM-Driven MDA Pipeline for Generating UML Class Diagrams and Code,Z. Babaalla; A. Jakimi; M. Oualla,"Software Engineering and Information Systems Engineering (GL-ISI) Team, Faculty of Sciences and Techniques of Errachidia (FSTE), University of Moulay Ismail (UMI), Meknes, Morocco; Software Engineering and Information Systems Engineering (GL-ISI) Team, Faculty of Sciences and Techniques of Errachidia (FSTE), University of Moulay Ismail (UMI), Meknes, Morocco; Software Engineering and Information Systems Engineering (GL-ISI) Team, Faculty of Sciences and Techniques of Errachidia (FSTE), University of Moulay Ismail (UMI), Meknes, Morocco",IEEE Access,6 Oct 2025,2025,13,,171266,171286,"The transformation of textual specifications into formal software models is a major challenge in software design automation. This study presents an integrated approach that combines the natural language interpretation capabilities of transformer models with explicit concept structuring using a domain specific language (DSL). This DSL, designed as a pivotal intermediate layer, ensures continuity between semantic extraction, UML modeling, and automatic Python code generation. By following the model-driven architecture (MDA) paradigm, the proposed pipeline follows a structured progression from text to model to code while maintaining a high level of traceability and controllability. The experimental evaluation conducted on a dedicated annotated corpus demonstrates the accuracy of the models on UML entities and highlights the importance of DSL for validation, editing, and exploitation of results. This approach paves the way for the development of intelligent modeling tools and structuring of automated transformation chains.",2169-3536,,10.1109/ACCESS.2025.3615828,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11184520,Class diagram;UML;MDA;DSL;LLMs;NLP;IOB annotation;source code,Unified modeling language;Object oriented modeling;DSL;Codes;Software;Natural languages;Pipelines;Transformers;Context modeling;Adaptation models,,,,59.0,CCBYNCND,29 Sep 2025,,,IEEE,IEEE Journals
Towards LLM-Assisted HDL Generation and Verification,R. Al Amin; M. G. R. Lincoln; R. Obermaisser,"Institute for Embedded Systems, University of Siegen, Siegen, Germany; Institute for Embedded Systems, University of Siegen, Siegen, Germany; Institute for Embedded Systems, University of Siegen, Siegen, Germany",2025 14th Mediterranean Conference on Embedded Computing (MECO),27 Jun 2025,2025,,,1,5,"The rapid advancement of Large Language Models (LLMs) across various application domains has led to their increasing adoption in Electronic Design Automation (EDA). LLM-assisted hardware design, particularly in HDL (Hardware Description Language) generation and verification, is gaining significant traction in industry and academia. The hardware design process begins with generating and verifying HDL code, which remains a challenging and error-prone task. While recent research has made notable progress in leveraging LLMs for HDL generation (e.g., Verilog and VHDL), existing models still struggle with accuracy. Moreover, a lack of publicly available datasets and open-source evaluation frameworks, particularly for VHDL, limits further advancements in this domain. This paper presents an automated HDL generation and verification system utilizing CodeLlama-7B Instruct with Parameter-Efficient Fine-Tuning (PEFT) methods to address these challenges. Additionally, a multi-granularity VHDL dataset has been developed, incorporating a Pyramid of Thought (PoT) architecture to enhance the efficiency of HDL generation and verification. The proposed LLM model is evaluated using the VerilogEval framework for generated Verilog code and a human evaluation process for VHDL code. The results demonstrate promising performance, achieving up to 63% accuracy with Pass@10 for Verilog and 52% with Pass@10 for VHDL. These findings and the developed VHDL dataset contribute to advancing automatic HDL generation and verification, facilitating further research in EDA and AI-assisted hardware design.",2637-9511,979-8-3315-1341-2,10.1109/MECO66322.2025.11049176,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11049176,LLM;hardware design;HDL generation and verification,Industries;Embedded computing;VHDL;Codes;Accuracy;Design automation;Large language models;Computer architecture;Hardware,,,,24.0,IEEE,27 Jun 2025,,,IEEE,IEEE Conferences
LLM-based and Retrieval-Augmented Control Code Generation,H. Koziolek; S. Grüner; R. Hark; V. Ashiwal; S. Linsbauer; N. Eskandani,"ABB Corporate Research, Germany; ABB Corporate Research, Germany; ABB Corporate Research, Germany; ABB Corporate Research, Germany; ABB Corporate Research, Germany; ABB Corporate Research, Germany",2024 IEEE/ACM International Workshop on Large Language Models for Code (LLM4Code),30 Oct 2024,2024,,,22,29,"Control code is designed and implemented for industrial automation applications that manage power plants, petrochemical processes, or steel production. Popular large language models (LLM) can synthesize low-level control code in the Structured Text programming notation according to the standard IEC 61131-3, but are not aware of proprietary control code function block libraries, which are often used in practice. To automate control logic implementation tasks, we proposed a retrieval-augmented control code generation method that can integrate such function blocks into the generated code. With this method control engineers can benefit from the code generation capabilities of LLMs, re-use proprietary and well-tested function blocks, and speed up typical programming tasks significantly. We have evaluated the method using a prototypical implementation based on GPT-4, LangChain, Open-PLC, and the open-source OSCAT function block library. In several spot sample tests, we successfully generated IEC 61131-3 ST code that integrated the desired function blocks, could be compiled, and validated through simulations.CCS CONCEPTS• Software and its engineering Automatic programming; Command and control languages; • Applied computing → Computer-aided design; • Computing methodologies → Natural language processing.",,979-8-4007-0579-3,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10734438,Large language models;code generation;IEC 61131-3;industrial automation;PLC;DCS;ChatGPT;GPT-4,Codes;Automation;Large language models;Process control;Libraries;Vectors;Logic;IEC Standards;Programming environments;Testing,,10.0,,29.0,,30 Oct 2024,,,IEEE,IEEE Conferences
